City,RequiresDeEscalation,HasUseOfForceContinuum,BansChokeholdsAndStrangleholds,RequiresWarningBeforeShooting,RestrictsShootingatMovingVehicles,RequiresExhaustAllOtherMeansBeforeShooting,DutyToIntervene,RequiresComprehensiveReporting,TotalNumOfPolicies,TotalDeathArrests,Black,White,IndianAmerican,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic
Albuquerque,1,1,1,1,,,1,1,6,"545,852","14,878","229,933","20,627","13,674",418,14092,"1,224","10,043","255,055"
Anaheim,,1,,1,,,1,,3,"336,265","8,209","92,362",743,"49,210","1,437",50647,628,"6,209","177,467"
Anchorage,1,1,,,1,,,,3,"291,826","15,308","182,814","22,047","23,208","5,776",28984,562,"20,050","22,061"
Arlington,1,1,,,,1,1,1,5,"365,438","67,087","164,022","1,338","24,564",373,24937,597,"7,188","100,269"
Atlanta,,1,1,,,,,,2,"420,003","224,316","152,377",754,"13,098",115,13213,739,"6,789","21,815"
Aurora,,1,,,1,1,1,1,5,"325,078","49,003","153,715","1,487","15,735",919,16654,677,"10,279","93,263"
Austin,,1,,1,,,1,,3,"790,390","60,760","385,271","1,967","49,159",401,49560,"1,448","13,677","277,707"
Bakersfield,,,,1,,,1,,2,"347,483","26,677","131,311","2,265","20,496",357,20853,681,"7,491","158,205"
Baltimore,1,1,1,1,,1,1,1,7,"620,961","392,938","174,120","1,884","14,397",192,14589,942,"10,528","25,960"
Baton Rouge,,1,1,1,,1,1,,5,"229,493","124,542","86,679",397,"7,469",39,7508,332,"2,382","7,653"
Birmingham,,1,,,,,,,1,"212,237","155,258","44,819",361,"2,132",48,2180,150,"1,765","7,704"
Boston,,1,1,,1,1,,,4,"617,594","138,073","290,312","1,227","54,846",182,55028,"10,078","14,959","107,917"
Buffalo,1,1,,,1,1,,,4,"261,310","97,637","119,801","1,597","8,313",79,8392,445,"5,919","27,519"
Chandler,1,1,,1,,1,1,,5,"236,123","10,580","145,724","2,715","19,119",365,19484,369,"5,443","51,808"
Charlotte,1,1,,1,,,,,3,"731,424","252,007","329,545","2,250","36,115",436,36551,"1,960","13,423","95,688"
Chesapeake,,1,,1,,1,,,3,"222,209","65,204","134,251",720,"6,289",147,6436,266,"5,626","9,706"
Chicago,1,1,1,1,,1,1,1,7,"2,695,598","872,286","854,717","4,097","144,903",557,145460,"4,227","35,949","778,862"
Chula Vista,,,,1,,,1,,2,"243,916","9,972","49,641",600,"33,581","1,105",34686,360,"6,591","142,066"
Cincinnati,1,1,1,1,1,1,1,,7,"296,943","132,307","142,831",549,"5,434",168,5602,721,"6,625","8,308"
