City,Rates,Type,Size
St. Louis,17.89662729,Avg Annual Police Homicide Rate,10
Oklahoma City,11.82268048,Avg Annual Police Homicide Rate,10
Phoenix,10.96900377,Avg Annual Police Homicide Rate,10
Orlando,10.79071998,Avg Annual Police Homicide Rate,10
Spokane,10.25702743,Avg Annual Police Homicide Rate,10
Bakersfield,9.866875296,Avg Annual Police Homicide Rate,10
Tulsa,9.84201022,Avg Annual Police Homicide Rate,10
Aurora,9.668009348,Avg Annual Police Homicide Rate,10
Reno,8.880166592,Avg Annual Police Homicide Rate,10
Kansas City Missouri,8.699680504,Avg Annual Police Homicide Rate,10
Albuquerque,8.374849907,Avg Annual Police Homicide Rate,10
Stockton,8.325379331,Avg Annual Police Homicide Rate,10
Mesa,8.134612875,Avg Annual Police Homicide Rate,10
Tucson,7.690592099,Avg Annual Police Homicide Rate,10
Long Beach,7.417024358,Avg Annual Police Homicide Rate,10
Denver,7.140976686,Avg Annual Police Homicide Rate,10
Baltimore,7.131802848,Avg Annual Police Homicide Rate,10
Columbus,7.079027908,Avg Annual Police Homicide Rate,10
Santa Ana,7.043195921,Avg Annual Police Homicide Rate,10
San Bernardino,6.805183917,Avg Annual Police Homicide Rate,10
Jacksonville,6.77967516,Avg Annual Police Homicide Rate,10
Fresno,6.642301933,Avg Annual Police Homicide Rate,10
St. Paul,6.514736334,Avg Annual Police Homicide Rate,10
Norfolk,6.472031118,Avg Annual Police Homicide Rate,10
Anchorage,6.363870447,Avg Annual Police Homicide Rate,10
Glendale,6.301010619,Avg Annual Police Homicide Rate,10
Baton Rouge,6.224901973,Avg Annual Police Homicide Rate,10
St. Petersburg,5.836406688,Avg Annual Police Homicide Rate,10
Austin,5.783763169,Avg Annual Police Homicide Rate,10
Cincinnati,5.773113743,Avg Annual Police Homicide Rate,10
Newark,5.670161548,Avg Annual Police Homicide Rate,10
Anaheim,5.522855061,Avg Annual Police Homicide Rate,10
Seattle,5.398275368,Avg Annual Police Homicide Rate,10
Memphis,5.300092332,Avg Annual Police Homicide Rate,10
Louisville,5.261447295,Avg Annual Police Homicide Rate,10
Scottsdale,5.257295319,Avg Annual Police Homicide Rate,10
Omaha,5.23979759,Avg Annual Police Homicide Rate,10
Fort Worth,5.203874304,Avg Annual Police Homicide Rate,10
Colorado Springs,5.145817017,Avg Annual Police Homicide Rate,10
Atlanta,5.102004373,Avg Annual Police Homicide Rate,10
Arlington,5.081964265,Avg Annual Police Homicide Rate,10
Fort Wayne,5.068032708,Avg Annual Police Homicide Rate,10
San Antonio,5.058196706,Avg Annual Police Homicide Rate,10
Garland,5.037364652,Avg Annual Police Homicide Rate,10
New Orleans,4.985867144,Avg Annual Police Homicide Rate,10
Madison,4.900570488,Avg Annual Police Homicide Rate,10
Wichita,4.856951568,Avg Annual Police Homicide Rate,10
Laredo,4.840748452,Avg Annual Police Homicide Rate,10
