Race,State,Police Funding,Year,Number of Deaths,Population,Funding/Person,Count,Death Rate,Death Rate (10^-5)
White,Alaska,375107,2013,1,737068,0.508917766,494783,2.02109E-06,0.202108803
Black,Alaska,371803,2014,1,736283,0.504972952,26975,3.70714E-05,3.707136237
White,Alaska,371803,2014,1,736283,0.504972952,492186,2.03175E-06,0.203175222
Native American,Alaska,395059,2015,2,737498,0.535674673,112416,1.77911E-05,1.779106177
White,Alaska,395059,2015,1,737498,0.535674673,490845,2.0373E-06,0.203730302
Native American,Alaska,368170,2016,3,741456,0.496550031,113262,2.64873E-05,2.648725963
White,Alaska,368170,2016,4,741456,0.496550031,490758,8.15066E-06,0.815065674
Black,Alaska,365305,2017,1,739700,0.493855617,27739,3.60503E-05,3.605032626
Native American,Alaska,365305,2017,2,739700,0.493855617,113738,1.75843E-05,1.758427263
White,Alaska,365305,2017,4,739700,0.493855617,486188,8.22727E-06,0.822727011
Black,Alaska,425273,2018,1,735139,0.578493319,27652,3.61637E-05,3.616374946
Native American,Alaska,425273,2018,4,735139,0.578493319,114006,3.50859E-05,3.508587267
White,Alaska,425273,2018,3,735139,0.578493319,481239,6.23391E-06,0.623390872
Asian,Alabama,1163321,2013,1,4830081,0.24084917,63011,1.58702E-05,1.587024488
Black,Alabama,1163321,2013,12,4830081,0.24084917,1284340,9.34332E-06,0.93433203
White,Alabama,1163321,2013,4,4830081,0.24084917,3372203,1.18617E-06,0.118616821
Black,Alabama,1169003,2014,7,4841799,0.241439804,1290579,5.42392E-06,0.542392213
White,Alabama,1169003,2014,10,4841799,0.241439804,3373358,2.96441E-06,0.29644052
Black,Alabama,1239236,2015,7,4852347,0.25538899,1297313,5.39577E-06,0.539576802
White,Alabama,1239236,2015,11,4852347,0.25538899,3372343,3.26183E-06,0.326182716
Black,Alabama,1249556,2016,7,4863525,0.256923939,1301635,5.37785E-06,0.53778517
White,Alabama,1249556,2016,19,4863525,0.256923939,3374106,5.63112E-06,0.563112125
Black,Alabama,1275691,2017,8,4874486,0.261707799,1305617,6.12737E-06,0.61273712
White,Alabama,1275691,2017,16,4874486,0.261707799,3376527,4.7386E-06,0.473859679
Black,Alabama,1312449,2018,3,4887681,0.26852182,1309574,2.29082E-06,0.229082129
White,Alabama,1312449,2018,10,4887681,0.26852182,3381642,2.95714E-06,0.29571433
Black,Arkansas,640326,2013,6,2959400,0.21637021,461473,1.30018E-05,1.300184409
White,Arkansas,640326,2013,9,2959400,0.21637021,2363626,3.80771E-06,0.3807709
Black,Arkansas,645494,2014,2,2967392,0.217529063,463401,4.31592E-06,0.431591645
White,Arkansas,645494,2014,4,2967392,0.217529063,2365842,1.69073E-06,0.169072998
Black,Arkansas,677496,2015,1,2978048,0.227496669,466189,2.14505E-06,0.214505276
White,Arkansas,677496,2015,4,2978048,0.227496669,2369297,1.68826E-06,0.168826449
Black,Arkansas,680398,2016,3,2989918,0.2275641,469025,6.39625E-06,0.639624753
White,Arkansas,680398,2016,13,2989918,0.2275641,2372809,5.47874E-06,0.547873849
Asian,Arkansas,672786,2017,1,3001345,0.224161501,49422,2.02339E-05,2.023390393
Black,Arkansas,672786,2017,5,3001345,0.224161501,470694,1.06226E-05,1.062261257
White,Arkansas,672786,2017,7,3001345,0.224161501,2377792,2.94391E-06,0.294390763
Black,Arkansas,695923,2018,7,3009733,0.231224165,471988,1.48309E-05,1.483088553
White,Arkansas,695923,2018,13,3009733,0.231224165,2381554,5.45862E-06,0.545862072
Black,Arizona,2043431,2013,6,6632764,0.308081367,306678,1.95645E-05,1.956449436
Native American,Arizona,2043431,2013,1,6632764,0.308081367,353396,2.82969E-06,0.282968681
White,Arizona,2043431,2013,20,6632764,0.308081367,5566820,3.59272E-06,0.359271541
Black,Arizona,2042867,2014,5,6730413,0.303527733,316562,1.57947E-05,1.579469425
White,Arizona,2042867,2014,18,6730413,0.303527733,5631624,3.19624E-06,0.319623611
Black,Arizona,2113256,2015,1,6829676,0.309422585,328032,3.04848E-06,0.304848307
Native American,Arizona,2113256,2015,2,6829676,0.309422585,364354,5.48917E-06,0.548916713
White,Arizona,2113256,2015,28,6829676,0.309422585,5699435,4.91277E-06,0.491276767
Black,Arizona,2267170,2016,4,6941072,0.326631103,340938,1.17323E-05,1.173233843
Native American,Arizona,2267170,2016,6,6941072,0.326631103,370059,1.62136E-05,1.62136308
White,Arizona,2267170,2016,22,6941072,0.326631103,5773622,3.81043E-06,0.381043303
Black,Arizona,2454185,2017,7,7044008,0.348407469,352008,1.98859E-05,1.988591168
White,Arizona,2454185,2017,18,7044008,0.348407469,5845558,3.07926E-06,0.307926121
Black,Arizona,2395240,2018,5,7158024,0.334623075,364149,1.37306E-05,1.373064323
Native American,Arizona,2395240,2018,3,7158024,0.334623075,380930,7.87546E-06,0.787546268
White,Arizona,2395240,2018,26,7158024,0.334623075,5928410,4.38566E-06,0.438566159
Asian,California,15090872,2013,9,38260787,0.394421369,5403085,1.66572E-06,0.166571505
Black,California,15090872,2013,31,38260787,0.394421369,2509919,1.2351E-05,1.235099619
White,California,15090872,2013,58,38260787,0.394421369,28130737,2.0618E-06,0.206180165
Asian,California,15904639,2014,5,38596972,0.412069605,5537896,9.0287E-07,0.090286997
Black,California,15904639,2014,23,38596972,0.412069605,2522246,9.11886E-06,0.911885676
Native American,California,15904639,2014,2,38596972,0.412069605,635115,3.14904E-06,0.3149036
Pacific Islander,California,15904639,2014,1,38596972,0.412069605,191689,5.21678E-06,0.521678344
White,California,15904639,2014,48,38596972,0.412069605,28280234,1.6973E-06,0.169729854
Asian,California,16535225,2015,13,38918045,0.424872961,5685743,2.28642E-06,0.228642061
Black,California,16535225,2015,36,38918045,0.424872961,2531244,1.42223E-05,1.422225593
Pacific Islander,California,16535225,2015,2,38918045,0.424872961,193835,1.03181E-05,1.031805402
White,California,16535225,2015,60,38918045,0.424872961,28404773,2.11232E-06,0.211232105
Asian,California,17557870,2016,4,39167117,0.448280888,5813827,6.88015E-07,0.068801497
Black,California,17557870,2016,25,39167117,0.448280888,2537131,9.85365E-06,0.985364965
Native American,California,17557870,2016,1,39167117,0.448280888,641036,1.55997E-06,0.155997479
Pacific Islander,California,17557870,2016,2,39167117,0.448280888,195842,1.02123E-05,1.021231401
White,California,17557870,2016,46,39167117,0.448280888,28484043,1.61494E-06,0.161493928
Asian,California,18903311,2017,3,39358497,0.480285388,5930737,5.05839E-07,0.050583932
Black,California,18903311,2017,28,39358497,0.480285388,2543564,1.10082E-05,1.100817593
Native American,California,18903311,2017,2,39358497,0.480285388,643442,3.10828E-06,0.310828326
Pacific Islander,California,18903311,2017,2,39358497,0.480285388,197581,1.01224E-05,1.01224308
White,California,18903311,2017,54,39358497,0.480285388,28518935,1.89348E-06,0.189347884
Asian,California,19983844,2018,4,39461588,0.506412565,6021008,6.64341E-07,0.066434059
Black,California,19983844,2018,20,39461588,0.506412565,2547988,7.84933E-06,0.784933053
White,California,19983844,2018,33,39461588,0.506412565,28497432,1.158E-06,0.115799908
Black,Colorado,1636127,2013,1,5269035,0.310517391,231172,4.32578E-06,0.43257834
White,Colorado,1636127,2013,10,5269035,0.310517391,4634898,2.15754E-06,0.215754478
Black,Colorado,1762363,2014,2,5350101,0.329407426,237728,8.41298E-06,0.841297617
White,Colorado,1762363,2014,8,5350101,0.329407426,4696582,1.70337E-06,0.170336641
Asian,Colorado,1779074,2015,2,5450623,0.326398285,177346,1.12774E-05,1.127738996
Black,Colorado,1779074,2015,5,5450623,0.326398285,244464,2.04529E-05,2.045290922
Native American,Colorado,1779074,2015,1,5450623,0.326398285,86001,1.16278E-05,1.162777177
White,Colorado,1779074,2015,11,5450623,0.326398285,4773687,2.3043E-06,0.230429854
Black,Colorado,1829355,2016,2,5539215,0.33025528,250138,7.99559E-06,0.799558644
White,Colorado,1829355,2016,19,5539215,0.33025528,4842319,3.92374E-06,0.392373984
Black,Colorado,1861271,2017,2,5611885,0.33166592,254236,7.86671E-06,0.786670652
Native American,Colorado,1861271,2017,3,5611885,0.33166592,89590,3.34859E-05,3.348588012
White,Colorado,1861271,2017,17,5611885,0.33166592,4897864,3.4709E-06,0.347090078
Asian,Colorado,1920013,2018,2,5691287,0.337360073,196679,1.01689E-05,1.016885382
Black,Colorado,1920013,2018,3,5691287,0.337360073,259806,1.15471E-05,1.154707743
Native American,Colorado,1920013,2018,1,5691287,0.337360073,91444,1.09357E-05,1.093565461
White,Colorado,1920013,2018,23,5691287,0.337360073,4956931,4.63997E-06,0.463996775
Black,Connecticut,1120723,2013,2,3594841,0.311758712,407444,4.90865E-06,0.490865002
White,Connecticut,1120723,2013,6,3594841,0.311758712,2934858,2.04439E-06,0.204439193
Asian,Connecticut,1136992,2014,1,3594524,0.316312257,159480,6.27038E-06,0.627037873
Black,Connecticut,1136992,2014,1,3594524,0.316312257,411182,2.43201E-06,0.243201307
White,Connecticut,1172595,2015,4,3587122,0.326890192,2904483,1.37718E-06,0.137718141
Black,Connecticut,1249334,2016,1,3578141,0.349157286,418863,2.38742E-06,0.238741546
White,Connecticut,1249334,2016,4,3578141,0.349157286,2886999,1.38552E-06,0.138552178
Black,Connecticut,1179779,2017,1,3573297,0.330165391,423337,2.36218E-06,0.236218426
White,Connecticut,1179779,2017,3,3573297,0.330165391,2872125,1.04452E-06,0.104452278
White,Connecticut,1225784,2018,1,3571520,0.343210734,2859546,3.49706E-07,0.034970586
Black,District of Columbia,559765,2013,6,650581,0.860407851,322207,1.86216E-05,1.862156936
Black,District of Columbia,604640,2014,3,662328,0.912901161,324743,9.23807E-06,0.923807442
Black,District of Columbia,584667,2015,6,675400,0.865660349,326784,1.83608E-05,1.836075206
Black,District of Columbia,593345,2016,5,685815,0.86516772,327757,1.52552E-05,1.525520431
Black,District of Columbia,639302,2017,1,694906,0.919983422,327813,3.05052E-06,0.305051966
White,District of Columbia,639302,2017,1,694906,0.919983422,313010,3.19479E-06,0.319478611
Black,District of Columbia,627829,2018,1,701547,0.894920796,327219,3.05606E-06,0.305605726
Black,Delaware,327268,2013,1,923576,0.354348749,205095,4.87579E-06,0.487578927
Black,Delaware,343148,2014,1,932487,0.367992262,208247,4.80199E-06,0.480198994
White,Delaware,343148,2014,2,932487,0.367992262,659498,3.03261E-06,0.303260965
Black,Delaware,360615,2015,2,941252,0.383122692,211750,9.4451E-06,0.944510035
White,Delaware,360615,2015,2,941252,0.383122692,662385,3.01939E-06,0.301939205
White,Delaware,354420,2016,1,948921,0.373497899,665087,1.50356E-06,0.150356269
Black,Delaware,378957,2017,4,956823,0.396057578,218390,1.83159E-05,1.831585695
White,Delaware,378957,2017,3,956823,0.396057578,668104,4.49032E-06,0.449031887
Black,Delaware,368410,2018,1,965479,0.381582613,221874,4.50706E-06,0.450706257
Black,Florida,7157530,2013,26,19545621,0.366196091,3275914,7.93672E-06,0.793671629
White,Florida,7157530,2013,32,19545621,0.366196091,15252903,2.09796E-06,0.209796129
Asian,Florida,7242698,2014,2,19845911,0.364946613,540284,3.70176E-06,0.370175685
Black,Florida,7242698,2014,30,19845911,0.364946613,3337671,8.9883E-06,0.898830352
White,Florida,7242698,2014,42,19845911,0.364946613,15455716,2.71744E-06,0.271744124
Asian,Florida,7529788,2015,2,20209042,0.372595,559565,3.5742E-06,0.357420496
Black,Florida,7529788,2015,34,20209042,0.372595,3403053,9.99103E-06,0.999102864
White,Florida,7529788,2015,26,20209042,0.372595,15712770,1.65471E-06,0.165470506
Asian,Florida,7869704,2016,2,20613477,0.3817747,582342,3.43441E-06,0.343440796
Black,Florida,7869704,2016,19,20613477,0.3817747,3472527,5.47152E-06,0.547151973
White,Florida,7869704,2016,39,20613477,0.3817747,16002588,2.43711E-06,0.24371058
Black,Florida,8509422,2017,20,20963613,0.405913904,3538457,5.65218E-06,0.565218116
White,Florida,8509422,2017,34,20963613,0.405913904,16245729,2.09286E-06,0.209285776
Black,Florida,8877458,2018,23,21244317,0.417874484,3589957,6.40676E-06,0.640676198
White,Florida,8877458,2018,42,21244317,0.417874484,16440418,2.55468E-06,0.255467957
Black,Georgia,2359086,2013,12,9972479,0.236559636,3138301,3.82373E-06,0.3823725
White,Georgia,2359086,2013,12,9972479,0.236559636,6214617,1.93093E-06,0.193093154
Black,Georgia,2403201,2014,13,10067278,0.238714079,3187865,4.07796E-06,0.407796441
White,Georgia,2403201,2014,11,10067278,0.238714079,6238124,1.76335E-06,0.176335065
Black,Georgia,2547838,2015,13,10178447,0.250316969,3241925,4.00996E-06,0.400996322
White,Georgia,2547838,2015,20,10178447,0.250316969,6270007,3.18979E-06,0.31897891
Asian,Georgia,2667236,2016,1,10301890,0.258907443,419915,2.38143E-06,0.238143434
Black,Georgia,2667236,2016,12,10301890,0.258907443,3298868,3.63761E-06,0.363761145
White,Georgia,2667236,2016,11,10301890,0.258907443,6305959,1.74438E-06,0.174438178
Black,Georgia,2739699,2017,14,10410330,0.263171196,3353318,4.17497E-06,0.417496939
White,Georgia,2739699,2017,20,10410330,0.263171196,6335279,3.15692E-06,0.31569249
Black,Georgia,2814041,2018,23,10511131,0.267720096,3404951,6.75487E-06,0.67548696
White,Georgia,2814041,2018,21,10511131,0.267720096,6361789,3.30096E-06,0.330095827
Pacific Islander,Hawaii,384496,2013,1,1408243,0.273032424,144264,6.93174E-06,0.693173626
White,Hawaii,384496,2013,2,1408243,0.273032424,365054,5.47864E-06,0.547864152
Pacific Islander,Hawaii,451152,2014,1,1414538,0.31893947,144813,6.90546E-06,0.690545738
Black,Hawaii,456058,2015,1,1422052,0.320704166,29752,3.36112E-05,3.36111858
Pacific Islander,Hawaii,456058,2015,1,1422052,0.320704166,145264,6.88402E-06,0.688401806
Asian,Hawaii,457839,2016,1,1427559,0.32071459,537694,1.85979E-06,0.185979386
Pacific Islander,Hawaii,457839,2016,3,1427559,0.32071459,145112,2.06737E-05,2.067368653
Pacific Islander,Hawaii,482783,2017,3,1424393,0.338939464,144728,2.07285E-05,2.072853905
White,Hawaii,482783,2017,1,1424393,0.338939464,368793,2.71155E-06,0.271154821
Asian,Hawaii,487184,2018,1,1420593,0.342944109,533488,1.87446E-06,0.187445641
