City,RequiresDeEscalation,HasUseOfForceContinuum,BansChokeholdsAndStrangleholds,RequiresWarningBeforeShooting,RestrictsShootingatMovingVehicles,RequiresExhaustAllOtherMeansBeforeShooting,DutyToIntervene,RequiresComprehensiveReporting,Total
Albuquerque,1,1,1,1,,,1,1,6
Anaheim,,1,,1,,,1,,3
Anchorage,1,1,,,1,,,,3
Arlington,1,1,,,,1,1,1,5
Atlanta,,1,1,,,,,,2
Aurora,,1,,,1,1,1,1,5
Austin,,1,,1,,,1,,3
Bakersfield,,,,1,,,1,,2
Baltimore,1,1,1,1,,1,1,1,7
Baton Rouge,,1,1,1,,1,1,,5
Birmingham,,1,,,,,,,1
Boston,,1,1,,1,1,,,4
Buffalo,1,1,,,1,1,,,4
Chandler,1,1,,1,,1,1,,5
Charlotte,1,1,,1,,,,,3
Chesapeake,,1,,1,,1,,,3
Chicago,1,1,1,1,,1,1,1,7
Chula Vista,,,,1,,,1,,2
Cincinnati,1,1,1,1,1,1,1,,7
Cleveland,1,1,1,1,1,,1,,6
Colorado Springs,,,,1,,,1,1,3
Columbus,1,1,1,1,,,,,4
Corpus Christi,1,,1,1,,1,1,,5
Dallas,1,1,,,,1,,1,4
Denver,1,1,1,1,1,1,,,6
Detroit,,1,1,1,,1,,,4
Durham,1,1,,,,,,,2
El Paso,,1,,1,,1,,,3
Fort Wayne,,1,,1,,,,1,3
Fort Worth,1,1,1,1,1,,1,,6
Fremont,,,,1,,,1,,2
Fresno,,,,1,,,1,,2
Garland,,,1,1,,,,,2
Glendale,,1,,,,1,,,2
Greensboro,1,,,,,,,,1
Henderson,1,1,,,,1,1,,4
Hialeah,,1,,,,,1,,2
Honolulu,1,1,,1,,,,1,4
Houston,,1,,,,,1,1,3
Indianapolis,,,,1,,,,,1
Irvine,,1,,1,,,1,,3
Irving,,,,,,,,1,1
Jacksonville,,1,1,1,,,,,3
Jersey City,,1,,1,,1,,,3
"Kansas City, MO",,,,,,,,,0
Laredo,,1,,1,,1,,,3
Las Vegas,1,1,,1,,,1,,4
Lexington,,1,,,,1,,1,3
Lincoln,1,1,,,,1,,,3
Long Beach,,,,1,,1,,,2
Los Angeles,1,1,1,,1,,1,,5
Louisville,1,1,,1,,1,,,4
Lubbock,,1,,,,1,,,2
Madison,1,1,1,1,,1,1,1,7
Memphis,,1,,1,,1,,,3
Mesa,,1,,1,,,,,2
Miami,1,1,1,1,,1,1,,6
Milwaukee,,1,,1,,,1,,3
Minneapolis,1,1,,1,,,1,,4
Nashville,,1,,1,,1,,,3
New Orleans,1,1,1,,1,,1,1,6
New York,1,1,,,1,,1,,4
Newark,,1,,1,,1,1,,4
Norfolk,1,1,,,,,1,,3
North Las Vegas,,,,,,1,,,1
Oakland,1,1,,,,1,1,1,5
Oklahoma City,1,1,,1,,1,1,,5
Omaha,,1,,1,,,,,2
Orlando,,1,,,1,,1,,3
Philadelphia,1,1,1,1,1,1,1,,7
Phoenix,,1,,1,,,1,1,4
Pittsburgh,1,1,1,1,,,,,4
Plano,,1,1,1,,1,,1,5
Portland,1,1,,1,,,1,1,5
Raleigh,,1,,1,,1,1,1,5
Reno,,,,,,,,,0
Riverside,1,1,,1,,,1,,4
Rochester,,1,,,,,,,1
Sacramento,1,,,1,,1,1,1,5
San Antonio,1,1,1,,,,1,,4
San Bernardino,1,1,,1,,,1,,4
San Diego,,1,,1,,1,,1,4
San Francisco,1,1,1,1,1,1,1,1,8
San Jose,1,1,1,1,,,,1,5
Santa Ana,,1,,1,,,1,,3
Scottsdale,,1,,1,,,,,2
Seattle,1,1,1,1,,,1,1,6
Spokane,,1,,1,,,1,1,4
St. Louis,,1,,1,1,1,,,4
St. Paul,1,1,,1,1,,1,1,6
St. Petersburg,1,1,1,1,1,1,,,6
Stockton,1,,,1,,1,1,,4
Tampa,,1,,,,,,,1
Toledo,,1,,1,,,,,2
Tucson,1,1,1,1,1,1,1,1,8
Tulsa,1,1,,1,,,,,3
Virginia Beach,1,,1,1,,,1,1,5
Washington DC,1,1,1,1,,1,1,1,7
Wichita,,1,,1,,,,1,3
Winston-Salem,1,1,,1,,,,1,4
